DEPARTMENT,,,,"JUNE 
FY20 ACTUAL","JUNE 
FY21 ACTUAL","actual vs.
prior yr","JUNE 
FY21 ESTIMATE",actual vs. estimate,"YTD
FY20 ACTUAL",,"YTD
FY21 ACTUAL",,"actual vs.
prior yr","YTD 
FY21 ESTIMATE",,actual vs. estimate,"FY21 
APPROPRIATION"
,,,,,,,,,,,,,,,,,
ADMINISTRATIVE SERV ,,,,"12,618,570","13,794,919",109%,"14,743,144",94%,"131,776,261",,"128,031,119",,97%,"129,600,713",,99%,"129,600,713"
"AGRICULT, MARKETS & FOOD ",,,,"595,676","444,563",75%,"1,470,093",30%,"5,300,499",,"12,232,308",,231%,"15,268,010",,80%,"15,268,010"
BANKING ,,,,"479,816","430,181",90%,"473,154",91%,"5,571,101",,"5,358,282",,96%,"5,358,282",,100%,"5,358,282"
BUS & ECON AFFAIRS ,,,,"2,351,289","2,849,009",121%,"3,359,910",85%,"21,669,624",,"23,552,068",,109%,"27,663,860",,85%,"27,663,860"
COMMUNITY COLLEGE SYSTEM OF NH,,,,"4,698,472","4,613,333",98%,"4,542,964",102%,"57,255,000",,"55,360,000",,97%,"55,360,000",,100%,"55,360,000"
CORRECTIONS ,,,,"11,362,739","12,586,457",111%,"12,297,946",102%,"135,735,267",,"138,309,031",,102%,"139,084,131",,99%,"139,084,131"
DEVELOPMENT DISABILITIES CNCL,,,,"51,577","74,667",145%,"106,032",70%,"633,991",,"644,247",,102%,"1,067,993",,60%,"1,067,993"
EDUCATION DEPT OF,,,,"17,141,892","15,953,671",93%,"164,119,252",10%,"1,292,714,971",,"1,418,957,461",,110%,"1,953,677,227",,73%,"1,953,677,227"
EMPLOYMENT SECURITY ,,,,"22,532,771","4,570,143",20%,"51,163,746",9%,"67,305,975",,"115,869,161",,172%,"161,867,942",,72%,"161,867,942"
ENVIRONMENTAL SERV ,,,,"31,953,928","23,339,105",73%,"49,112,502",48%,"210,826,506",,"192,304,181",,91%,"264,916,505",,73%,"264,916,505"
EXECUTIVE ,,,,"387,976,775","153,266,227",40%,"700,270,483",22%,"446,920,556",,"843,654,926",,189%,"961,300,913",,88%,"961,300,913"
EXECUTIVE COUNCIL,,,,"17,987","23,876",133%,"20,645",116%,"242,913",,"241,930",,100%,"241,930",,100%,"241,930"
FISH AND GAME ,,,,"3,401,530","6,439,301",189%,"3,637,797",177%,"30,234,412",,"33,836,229",,112%,"33,840,314",,100%,"33,840,314"
HHS: COMMISSIONER'S OFFICE,,,,"339,773,525","338,154,996",100%,"512,343,387",66%,"2,995,651,805",,"3,464,772,599",,116%,"4,135,132,558",,84%,"4,135,132,558"
INFORMATION TECHNOLOGY ,,,,"9,911,322","6,854,683",69%,"9,423,511",73%,"91,059,134",,"90,658,537",,100%,"90,658,537",,100%,"90,658,537"
INSURANCE ,,,,"979,842","989,174",101%,"984,755",100%,"10,651,381",,"10,680,396",,100%,"10,941,720",,98%,"10,941,720"
JUDICIAL BRANCH,,,,"10,434,073","8,688,511",83%,"12,101,519",72%,"92,461,480",,"91,376,201",,99%,"95,695,462",,95%,"95,695,462"
JUDICIAL COUNCIL,,,,"609,426","628,133",103%,"2,840,798",22%,"31,994,632",,"33,480,618",,105%,"33,480,618",,100%,"33,480,618"
