State,As Reported,Standardized
Maine,Auto Sales Tax Transfer to Highway Fund,Other
Maine,Cigarette and Tobacco Tax,Tobacco
Maine,Corporate Income Tax,Business Tax
Maine,Estate Tax,Estate Tax
Maine,Fines Forfeits & Penalties,Other
Maine,Income from Investments,Investments Tax
Maine,Individual Income Tax,Individual Income
Maine,Insurance Companies Tax,Insurance Tax
Maine,Other Revenues,Other
Maine,Other Taxes and Fees,Other
Maine,Sales and Use Tax,Sales & Use
Maine,Service Provider Tax,Other
Maine,Total Collected,Total
Maine,Transfer from Liquor Commission,Liquor
Maine,Transfer from Lottery Commission,Lottery
Maine,Transfer to Municipal Revenue Sharing,Other
Maine,Transfers for Tax Relief Programs,Other
New Hampshire,Business Taxes,Business Tax
New Hampshire,Meals and Rooms Tax,Sales & Use
New Hampshire,State Property Tax,State Property Tax
New Hampshire,Tobacco Tax,Tobacco
New Hampshire,Other,Other
New Hampshire,Real Estate Transfer Tax,Other
New Hampshire,Liquor and Beer,Liquor Tax
New Hampshire,Insurance Tax,Insurance Tax
New Hampshire,Interest and Dividends Tax,Investments Tax
New Hampshire,Lottery,Lottery
New Hampshire,Communications Tax,Other
New Hampshire,Tobacco Settlement,Tobacco
New Hampshire,Video Lottery Terminal,Lottery
New Hampshire,Total Funding,Total
