DEPARTMENT,"JUNE 
FY15 ACTUAL","JUNE 
FY16 ACTUAL","actual vs.
prior yr","JUNE 
FY16 ESTIMATE",actual vs. estimate,"YTD
FY15 ACTUAL",YTD FY16 ACTUAL,"actual vs.
prior yr","YTD 
FY16 ESTIMATE",actual vs. estimate,FY16 APPROPRIATION
ACCOUNTANCY BOARD OF,0,0,0%,0,0%,0,0,0%,0,0%,0
ADJUTANT GENERAL,"2,058,302","2,204,327",107%,"1,984,739",111%,"19,365,240","18,284,164",94%,"18,306,830",100%,"18,306,830"
ADMINISTRATIVE SERV DEPT OF,"15,591,605","10,272,080",66%,"15,843,112",65%,"127,262,995","124,309,491",98%,"127,730,602",97%,"127,730,602"
AGRICULTURE DEPT OF,"428,778","462,343",108%,"424,148",109%,"4,295,368","4,444,999",103%,"4,822,089",92%,"4,822,089"
BANK COMMISSION,"458,236","506,470",111%,"473,963",107%,"5,079,478","5,068,398",100%,"5,068,398",100%,"5,068,398"
BOARD OF MANUFACTURED HOUSING,0,0,0%,0,0%,0,0,0%,0,0%,0
BOARDS AND COMMISSIONS,0,0,0%,0,0%,0,0,0%,0,0%,0
BOXING - WRESTLING COMMISSION,"1,503","1,797",120%,"2,277",79%,"2,454","3,636",148%,"3,636",100%,"3,636"
COMM COLLEGE SYSTEM OF NH,"3,543,376","3,541,667",100%,"3,541,840",100%,"42,168,259","42,501,341",101%,"42,501,341",100%,"42,501,341"
COMM DEVELOPMENT FINANCE AUTH,0,0,0%,0,0%,"170,925","170,604",100%,"170,604",100%,"170,604"
COMMISSION ON STATUS OF WOMEN,0,0,0%,0,0%,0,0,0%,0,0%,0
CORRECTIONS DEPT OF,"9,524,326","9,776,882",103%,"9,263,484",106%,"108,583,327","111,805,995",103%,"112,403,648",99%,"112,403,648"
CULTURAL RESOURCES DEPT OF,"437,674","428,139",98%,"428,399",100%,"5,791,606","5,680,238",98%,"6,855,892",83%,"6,855,892"
DEVELOPMENT DISABILITIES COUNC,"59,925","33,620",56%,"55,162",61%,"485,527","478,294",99%,"478,294",100%,"478,294"
