DEPARTMENT,,,,"JUNE 
FY21 ACTUAL","JUNE 
FY22 ACTUAL","actual vs.
prior yr","JUNE 
FY22 ESTIMATE",actual vs. estimate,"YTD
FY21 ACTUAL",,"YTD
FY22 ACTUAL",,"actual vs.
prior yr","YTD 
FY22 ESTIMATE",,actual vs. estimate,"FY22 
APPROPRIATION"
,,,,,,,,,,,,,,,,,
ADMINISTRATIVE SERV ,,,,"13,794,919","6,923,735",50%,"17,697,442",39%,"128,031,119",,"124,616,689",,97%,"160,843,503",,77%,"160,843,503"
"AGRICULT, MARKETS & FOOD ",,,,"444,563","529,634",119%,"820,951",65%,"12,232,308",,"5,947,934",,49%,"9,708,467",,61%,"9,708,467"
BANKING ,,,,"430,181","528,496",123%,"490,802",108%,"5,358,282",,"5,838,143",,109%,"5,838,143",,100%,"5,838,143"
BUS & ECON AFFAIRS ,,,,"2,849,009","24,127,287",847%,"17,747,158",136%,"23,552,068",,"44,461,819",,189%,"157,773,473",,28%,"157,773,473"
COMMUNITY COLLEGE SYSTEM OF NH,,,,"4,613,333","4,666,667",101%,"4,791,667",97%,"55,360,000",,"57,500,000",,104%,"57,500,000",,100%,"57,500,000"
CORRECTIONS ,,,,"12,586,457","11,835,738",94%,"15,199,476",78%,"138,309,031",,"144,673,206",,105%,"156,013,362",,93%,"156,013,362"
DEPT. OF ENERGY,,,,0,"4,307,247",0%,"7,766,351",55%,0,,"84,321,190",,0%,"93,196,216",,90%,"93,196,216"
DEVELOPMENT DISABILITIES CNCL,,,,"74,667","59,211",79%,"93,674",63%,"644,247",,"568,844",,88%,"862,264",,66%,"862,264"
EDUCATION DEPT OF,,,,"15,953,671","22,558,968",141%,"261,953,996",9%,"1,418,957,461",,"1,493,089,562",,105%,"2,104,823,080",,71%,"2,104,823,080"
EMPLOYMENT SECURITY ,,,,"4,570,143","1,060,385",23%,"9,435,973",11%,"115,869,161",,"49,232,753",,42%,"90,627,828",,54%,"90,627,828"
ENVIRONMENTAL SERV ,,,,"23,339,105","18,287,078",78%,"59,257,735",31%,"192,304,181",,"172,388,373",,90%,"499,021,876",,35%,"499,021,876"
EXECUTIVE ,,,,"153,266,227","20,257,359",13%,"51,962,969",39%,"843,654,926",,"344,707,940",,41%,"438,275,776",,79%,"438,275,776"
EXECUTIVE COUNCIL,,,,"23,876","18,065",76%,"24,015",75%,"241,930",,"241,500",,100%,"241,500",,100%,"241,500"
FISH AND GAME ,,,,"6,439,301","3,721,158",58%,"10,517,422",35%,"33,836,229",,"34,919,869",,103%,"91,726,868",,38%,"91,726,868"
HHS: COMMISSIONER'S OFFICE,,,,"338,154,996","300,931,586",89%,"474,705,572",63%,"3,464,772,599",,"3,764,109,387",,109%,"4,419,216,908",,85%,"4,419,216,908"
INFORMATION TECHNOLOGY ,,,,"6,854,683","15,464,705",226%,"9,916,029",156%,"90,658,537",,"116,773,347",,129%,"127,981,109",,91%,"127,981,109"
INSURANCE ,,,,"989,174","1,100,477",111%,"1,337,965",82%,"10,680,396",,"11,339,125",,106%,"12,247,021",,93%,"12,247,021"
JUDICIAL BRANCH,,,,"8,688,511","7,413,843",85%,"11,089,225",67%,"91,376,201",,"98,282,037",,108%,"107,851,053",,91%,"107,851,053"
JUDICIAL COUNCIL,,,,"628,133","987,101",157%,"3,064,517",32%,"33,480,618",,"33,785,092",,101%,"35,131,120",,96%,"35,131,120"
JUSTICE ,,,,"5,123,211","8,852,696",173%,"8,398,415",105%,"49,189,493",,"49,879,932",,101%,"65,767,064",,76%,"65,767,064"
LABOR ,,,,"809,440","957,969",118%,"2,252,305",43%,"27,291,526",,"24,912,168",,91%,"24,912,168",,100%,"24,912,168"
LEGISLATIVE BRANCH,,,,"1,498,775","1,298,884",87%,"3,852,486",34%,"18,579,485",,"19,436,160",,105%,"39,339,787",,49%,"39,339,787"
LIQUOR COMMISSION,,,,"7,208,555","7,724,546",107%,"10,595,604",73%,"91,024,677",,"95,073,894",,104%,"95,988,213",,99%,"95,988,213"
LOTTERY COMMISSION,,,,"1,229,196","956,131",78%,"1,519,199",63%,"10,256,488",,"13,356,785",,130%,"13,356,785",,100%,"13,356,785"
MILITARY AFFRS & VET SVCS ,,,,"3,110,207","1,604,546",52%,"3,252,529",49%,"28,598,705",,"24,068,853",,84%,"25,706,426",,94%,"25,706,426"
NATURAL & CULTURAL RESRCS ,,,,"4,946,441","7,077,648",143%,"12,877,235",55%,"46,257,424",,"60,449,153",,131%,"109,558,087",,55%,"109,558,087"
PEASE DEVELOPMENT AUTHORITY,,,,"213,393","734,010",344%,"1,081,611",68%,"2,723,255",,"2,785,139",,102%,"13,110,564",,21%,"13,110,564"
POLICE STDS & TRAINING COUNCIL,,,,"380,423","339,674",89%,"684,722",50%,"2,728,933",,"3,545,983",,130%,"5,012,502",,71%,"5,012,502"
PROF LICENSURE & CERT OFFICE,,,,"1,050,938","1,332,523",127%,"1,076,519",124%,"9,579,208",,"11,001,317",,115%,"11,001,317",,100%,"11,001,317"
PUBLIC EMPLOYEE LABOR REL BRD,,,,"34,115","32,195",94%,"34,532",93%,"454,803",,"448,622",,99%,"448,622",,100%,"448,622"
PUBLIC UTILITIES COMMISSION,,,,"8,488,043",0,0%,0,0%,"37,454,159",,0,,0%,0,,0%,0
RETIREMENT SYSTEM,,,,"1,914,429","1,014,840",53%,"2,331,808",44%,"10,154,051",,"10,279,613",,101%,"12,313,579",,83%,"12,313,579"
REVENUE ADMINISTRATION ,,,,"667,815","803,770",120%,"-82,700",0%,"74,702,931",,"-7,102,276",,-10%,"-7,102,276",,0%,"-7,102,276"
SAFETY ,,,,"20,391,007","19,803,149",97%,"33,320,506",59%,"277,220,846",,"186,565,782",,67%,"332,263,415",,56%,"332,263,415"
STATE ,,,,"1,782,380","1,712,359",96%,"3,012,634",57%,"14,925,346",,"14,369,108",,96%,"14,708,518",,98%,"14,708,518"
TAX & LAND APPEALS BOARD,,,,"73,983","72,768",98%,"90,468",80%,"843,326",,"836,436",,99%,"973,873",,86%,"973,873"
TRANSPORTATION ,,,,"53,704,117","64,640,885",120%,"149,306,268",43%,"615,503,349",,"599,421,247",,97%,"1,446,913,633",,41%,"1,446,913,633"
TREASURY ,,,,"21,912,692","17,987,313",82%,"36,167,943",50%,"210,274,075",,"241,156,623",,115%,"272,291,064",,89%,"272,291,064"
UNIVERSITY SYSTEM OF NH,,,,"7,375,000","7,375,000",100%,"7,375,000",100%,"88,500,000",,"88,500,000",,100%,"88,500,000",,100%,"88,500,000"
VETERANS HOME,,,,"2,408,639","2,422,702",101%,"2,437,666",99%,"30,159,138",,"29,327,957",,97%,"29,452,142",,100%,"29,452,142"
STATE TOTALS,,,,"738,023,746","591,522,346",80%,"1,237,457,690",48%,"8,305,740,510",,"8,055,109,304",,97%,"11,163,395,051",,72%,"11,163,395,051"
