DEPARTMENT,"JUNE 
FY25 ACTUAL","JUNE 
FY26 ACTUAL","actual vs.
prior yr","JUNE 
FY26 ESTIMATE",actual vs. estimate,"YTD
FY24 ACTUAL","YTD
FY26 ACTUAL","actual vs.
prior yr","YTD 
FY26 ESTIMATE",actual vs. estimate,"FY26 
APPROPRIATION",,,,,,,,,,,,,,,,,
ADMINISTRATIVE SERVICES,,,,,,,,,,,"235,480,701",,,,,,,,,,,,,,,"80,007,468",,124%
"AGRICULT, MARKETS & FOOD",,,,,,,,,,,"22,342,023",,,,,,,,,,,,,,,"9,406,720",,51%
BANKING,,,,,,,,,,,"8,602,371",,,,,,,,,,,,,,,"3,433,446",,99%
BUS & ECON AFFAIRS,,,,,,,,,,,"163,776,287",,,,,,,,,,,,,,,"78,513,844",,31%
COMMUNITY COLLEGE SYSTEM OF NH,,,,,,,,,,,"68,500,000",,,,,,,,,,,,,,,"66,188,595",,103%
CORRECTIONS,,,,,,,,,,,"177,982,998",,,,,,,,,,,,,,,"70,524,698",,106%
DEVELOPMENT DISABILITIES CNCL,,,,,,,,,,,"834,533",,,,,,,,,,,,,,,"351,873",,61%
EDUCATION,,,,,,,,,,,"1,730,532,475",,,,,,,,,,,,,,,"731,283,801",,65%
EMPLOYMENT SECURITY,,,,,,,,,,,"117,197,982",,,,,,,,,,,,,,,"49,108,076",,40%
ENERGY,,,,,,,,,,,"278,224,492",,,,,,,,,,,,,,,"102,512,536",,37%
ENVIRONMENTAL SERVICES,,,,,,,,,,,"1,002,881,412",,,,,,,,,,,,,,,"447,217,014",,28%
EXECUTIVE,,,,,,,,,,,"52,537,596",,,,,,,,,,,,,,,"18,596,286",,101%
EXECUTIVE COUNCIL,,,,,,,,,,,"347,277",,,,,,,,,,,,,,,"146,138",,114%
FISH AND GAME,,,,,,,,,,,"99,552,144",,,,,,,,,,,,,,,"29,980,665",,82%
HHS: COMMISSIONER'S OFFICE,,,,,,,,,,,"5,224,082,057",,,,,,,,,,,,,,,"2,098,597,950",,87%
INFORMATION TECHNOLOGY,,,,,,,,,,,"166,319,033",,,,,,,,,,,,,,,"80,001,014",,89%
INSURANCE,,,,,,,,,,,"16,656,253",,,,,,,,,,,,,,,"6,317,603",,86%
JUDICIAL BRANCH,,,,,,,,,,,"160,665,603",,,,,,,,,,,,,,,"65,006,334",,83%
JUDICIAL COUNCIL,,,,,,,,,,,"41,273,982",,,,,,,,,,,,,,,"19,657,087",,114%
JUSTICE,,,,,,,,,,,"131,823,765",,,,,,,,,,,,,,,"60,287,776",,65%
LABOR,,,,,,,,,,,"13,563,335",,,,,,,,,,,,,,,"5,501,115",,79%
LEGISLATIVE BRANCH,,,,,,,,,,,"43,666,870",,,,,,,,,,,,,,,"16,909,419",,56%
LIQUOR COMMISSION,,,,,,,,,,,"104,403,027",,,,,,,,,,,,,,,"42,569,607",,109%
LOTTERY COMMISSION,,,,,,,,,,,"16,963,016",,,,,,,,,,,,,,,"6,073,985",,91%
MILITARY AFFRS & VET SVCS,,,,,,,,,,,"58,832,762",,,,,,,,,,,,,,,"21,660,366",,46%
NATURAL & CULTURAL RESRCS,,,,,,,,,,,"117,586,203",,,,,,,,,,,,,,,"48,673,125",,71%
PEASE DEVELOPMENT AUTHORITY,,,,,,,,,,,"1,168,202",,,,,,,,,,,,,,,"484,866",,86%
POLICE STDS & TRAINING COUNCIL,,,,,,,,,,,"10,280,166",,,,,,,,,,,,,,,"4,144,694",,102%
PROF LICENSURE & CERT OFFICE,,,,,,,,,,,"17,079,365",,,,,,,,,,,,,,,"7,085,052",,74%
RETIREMENT SYSTEM,,,,,,,,,,,"33,755,529",,,,,,,,,,,,,,,"21,103,725",,95%
REVENUE ADMINISTRATION,,,,,,,,,,,"30,663,257",,,,,,,,,,,,,,,"12,076,374",,77%
SAFETY,,,,,,,,,,,"460,075,138",,,,,,,,,,,,,,,"177,732,718",,62%
STATE,,,,,,,,,,,"19,958,256",,,,,,,,,,,,,,,"10,054,280",,79%
STATE & PUBLIC LABOR RELATIONS,,,,,,,,,,,"835,580",,,,,,,,,,,,,,,"387,423",,72%
TAX AND LAND APPEALS BOARD,,,,,,,,,,,"1,466,319",,,,,,,,,,,,,,,"581,051",,103%
TRANSPORTATION,,,,,,,,,,,"2,156,631,344",,,,,,,,,,,,,,,"938,756,132",,43%
TREASURY,,,,,,,,,,,"262,857,560",,,,,,,,,,,,,,,"84,529,234",,46%
UNIVERSITY SYSTEM OF NH,,,,,,,,,,,"87,000,000",,,,,,,,,,,,,,,"87,000,000",,100%
VETERANS HOME,,,,,,,,,,,"52,520,414",,,,,,,,,,,,,,,"21,087,865",,78%
STATE TOTALS,,,,,,,,,,,"13,188,919,329",,,,,,,,,,,,,,,"5,523,549,953",,69%
