DEPARTMENT,"JUNE 
FY26 ACTUAL","JUNE 
FY27 ACTUAL","actual vs.
prior yr","JUNE 
FY27 ESTIMATE",actual vs. estimate,"YTD
FY24 ACTUAL","YTD
FY27 ACTUAL","actual vs.
prior yr","YTD 
FY27 ESTIMATE",actual vs. estimate,"FY27 
APPROPRIATION"
ADMINISTRATIVE SERVICES DEPT OF,,,,,,,,,,,155771117
"AGRICULT, MARKETS & FOOD DEPT OF",,,,,,,,,,,9905591
BANKING DEPT OF,,,,,,,,,,,8881328
BUS & ECON AFFAIRS DEPT OF,,,,,,,,,,,39205686
COMMUNITY COLLEGE SYSTEM OF NH,,,,,,,,,,,68500000
CORRECTIONS DEPT OF,,,,,,,,,,,165459486
DEPT OF ENERGY,,,,,,,,,,,49925620
DEVELOPMENT DISABILITIES CNCL,,,,,,,,,,,831666
EDUCATION DEPT OF,,,,,,,,,,,1595032831
EMPLOYMENT SECURITY DEPT OF,,,,,,,,,,,54711089
ENVIRONMENTAL SERVICES DEPT OF,,,,,,,,,,,322788624
EXECUTIVE COUNCIL,,,,,,,,,,,350565
EXECUTIVE DEPT OF,,,,,,,,,,,3598788
FISH AND GAME DEPT OF,,,,,,,,,,,44400473
HHS: COMMISSIONER'S OFFICE,,,,,,,,,,,3572102464
INFORMATION TECHNOLOGY DEPT OF,,,,,,,,,,,142473458
INSURANCE DEPT OF,,,,,,,,,,,15641371
JUDICIAL BRANCH,,,,,,,,,,,133129221
JUDICIAL COUNCIL,,,,,,,,,,,43383268
JUSTICE DEPT OF,,,,,,,,,,,57875025
LABOR DEPT OF,,,,,,,,,,,12403787
LEGISLATIVE BRANCH,,,,,,,,,,,22189249
LIQUOR COMMISSION,,,,,,,,,,,94074658
LOTTERY COMMISSION,,,,,,,,,,,16563337
MILITARY AFFRS & VET SVCS DEPT OF,,,,,,,,,,,42562311
NATURAL & CULTURAL RESRCS DEPT OF,,,,,,,,,,,65917779
PEASE DEVELOPMENT AUTHORITY,,,,,,,,,,,1019255
POLICE STDS & TRAINING COUNCIL,,,,,,,,,,,6363988
PROF LICENSURE & CERT OFFICE,,,,,,,,,,,14641390
PUBLIC EMPLOYEE LABOR REL BRD,,,,,,,,,,,795953
RETIREMENT SYSTEM,,,,,,,,,,,19471976
REVENUE ADMINISTRATION DEPT OF,,,,,,,,,,,29334879
SAFETY DEPT OF,,,,,,,,,,,269788439
STATE DEPT OF,,,,,,,,,,,13457166
TAX AND LAND APPEALS BOARD,,,,,,,,,,,1501604
TRANSPORTATION DEPT OF,,,,,,,,,,,793261391
TREASURY DEPT OF,,,,,,,,,,,254707997
UNIVERSITY SYSTEM OF NH,,,,,,,,,,,77000000
VETERANS HOME,,,,,,,,,,,52457195
STATE TOTALS,,,,,,,,,,,8271480025
